County,Category,Proportion
Mombasa,TFR,3.2
Mombasa,women aged 15-49 who are currently pregnant,5.4
Mombasa,Mean number of children ever born to women aged 40-49,4.1
Kwale,TFR,4.7
Kwale,women aged 15-49 who are currently pregnant,7.5
Kwale,Mean number of children ever born to women aged 40-49,5.8
Kilifi,TFR,5.1
Kilifi,women aged 15-49 who are currently pregnant,7.1
Kilifi,Mean number of children ever born to women aged 40-49,6.4
Tana River,TFR,5.8
Tana River,women aged 15-49 who are currently pregnant,10.2
Tana River,Mean number of children ever born to women aged 40-49,7.4
Lamu,TFR,4.3
Lamu,women aged 15-49 who are currently pregnant,5.6
Lamu,Mean number of children ever born to women aged 40-49,5
Taita Taveta,TFR,3.2
Taita Taveta,women aged 15-49 who are currently pregnant,3.7
Taita Taveta,Mean number of children ever born to women aged 40-49,4.3
Garissa,TFR,6.1
Garissa,women aged 15-49 who are currently pregnant,11.7
Garissa,Mean number of children ever born to women aged 40-49,6.8
Wajir,TFR,7.8
Wajir,women aged 15-49 who are currently pregnant,13.6
Wajir,Mean number of children ever born to women aged 40-49,7.9
Mandera,TFR,5.2
Mandera,women aged 15-49 who are currently pregnant,10.6
Mandera,Mean number of children ever born to women aged 40-49,6.4
Marsabit,TFR,5
Marsabit,women aged 15-49 who are currently pregnant,12.7
Marsabit,Mean number of children ever born to women aged 40-49,6
Isiolo,TFR,4.9
Isiolo,women aged 15-49 who are currently pregnant,6.2
Isiolo,Mean number of children ever born to women aged 40-49,6.1
Meru,TFR,3.1
Meru,women aged 15-49 who are currently pregnant,4.8
Meru,Mean number of children ever born to women aged 40-49,4.3
Tharaka-Nithi,TFR,3.4
Tharaka-Nithi,women aged 15-49 who are currently pregnant,4.4
Tharaka-Nithi,Mean number of children ever born to women aged 40-49,4.3
Embu,TFR,3.1
Embu,women aged 15-49 who are currently pregnant,4.5
Embu,Mean number of children ever born to women aged 40-49,4.1
Kitui,TFR,3.9
Kitui,women aged 15-49 who are currently pregnant,4.1
Kitui,Mean number of children ever born to women aged 40-49,5.3
Machakos,TFR,3.4
Machakos,women aged 15-49 who are currently pregnant,3.9
Machakos,Mean number of children ever born to women aged 40-49,4.3
Makueni,TFR,3.3
Makueni,women aged 15-49 who are currently pregnant,4
Makueni,Mean number of children ever born to women aged 40-49,5.5
Nyandarua,TFR,3.5
Nyandarua,women aged 15-49 who are currently pregnant,6
Nyandarua,Mean number of children ever born to women aged 40-49,4.8
Nyeri,TFR,2.7
Nyeri,women aged 15-49 who are currently pregnant,4.8
Nyeri,Mean number of children ever born to women aged 40-49,3.3
Kirinyaga,TFR,2.3
Kirinyaga,women aged 15-49 who are currently pregnant,4.1
Kirinyaga,Mean number of children ever born to women aged 40-49,3.4
Murang’a,TFR,3
Murang’a,women aged 15-49 who are currently pregnant,4.3
Murang’a,Mean number of children ever born to women aged 40-49,3.9
Kiambu,TFR,2.7
Kiambu,women aged 15-49 who are currently pregnant,5
Kiambu,Mean number of children ever born to women aged 40-49,3.6
Turkana,TFR,6.9
Turkana,women aged 15-49 who are currently pregnant,10.6
Turkana,Mean number of children ever born to women aged 40-49,6.4
West Pokot,TFR,7.2
West Pokot,women aged 15-49 who are currently pregnant,10.7
West Pokot,Mean number of children ever born to women aged 40-49,6.4
Samburu,TFR,6.3
Samburu,women aged 15-49 who are currently pregnant,11.6
Samburu,Mean number of children ever born to women aged 40-49,6.5
Trans-Nzoia,TFR,5.2
Trans-Nzoia,women aged 15-49 who are currently pregnant,6.3
Trans-Nzoia,Mean number of children ever born to women aged 40-49,6.6
Uasin Gishu,TFR,3.6
Uasin Gishu,women aged 15-49 who are currently pregnant,8.4
Uasin Gishu,Mean number of children ever born to women aged 40-49,5.3
Elgeyo Marakwet,TFR,4.1
Elgeyo Marakwet,women aged 15-49 who are currently pregnant,5.9
Elgeyo Marakwet,Mean number of children ever born to women aged 40-49,5.8
Nandi,TFR,4
Nandi,women aged 15-49 who are currently pregnant,4.8
Nandi,Mean number of children ever born to women aged 40-49,6.1
Baringo,TFR,4.8
Baringo,women aged 15-49 who are currently pregnant,7.8
Baringo,Mean number of children ever born to women aged 40-49,6.2
Laikipia,TFR,3.7
Laikipia,women aged 15-49 who are currently pregnant,7.9
Laikipia,Mean number of children ever born to women aged 40-49,4.9
Nakuru,TFR,3.7
Nakuru,women aged 15-49 who are currently pregnant,5.3
Nakuru,Mean number of children ever born to women aged 40-49,4.7
Narok,TFR,6
Narok,women aged 15-49 who are currently pregnant,10.2
Narok,Mean number of children ever born to women aged 40-49,6.7
Kajiado,TFR,4.5
Kajiado,women aged 15-49 who are currently pregnant,7.7
Kajiado,Mean number of children ever born to women aged 40-49,4.3
Kericho,TFR,4
Kericho,women aged 15-49 who are currently pregnant,5.7
Kericho,Mean number of children ever born to women aged 40-49,5
Bomet,TFR,4.3
Bomet,women aged 15-49 who are currently pregnant,5.5
Bomet,Mean number of children ever born to women aged 40-49,5.7
Kakamega,TFR,4.4
Kakamega,women aged 15-49 who are currently pregnant,7.3
Kakamega,Mean number of children ever born to women aged 40-49,5.4
Vihiga,TFR,4.5
Vihiga,women aged 15-49 who are currently pregnant,6.2
Vihiga,Mean number of children ever born to women aged 40-49,5.3
Bungoma,TFR,5
Bungoma,women aged 15-49 who are currently pregnant,6.2
Bungoma,Mean number of children ever born to women aged 40-49,6.9
Busia,TFR,4.7
Busia,women aged 15-49 who are currently pregnant,6.8
