County,Reason For Assistance,Proportion
Mombasa,Receiving cash/social assistance,11.4
Mombasa,Orphaned children(<=18),3.8
Mombasa,Elderly person,5.8
Mombasa,Person with severe disability,3.9
Mombasa,Urban food subsidy,7.8
Mombasa,Food aid for ASALs,0.0
Mombasa,Health voucher,4.2
Mombasa,Food/cash for work,24.7
Mombasa,School feeding,2.5
Mombasa,Hunger safety net program,2.3
Mombasa,COVID-19 relief,21.5
Mombasa,Other,31.2
Kwale,Receiving cash/social assistance,17.7
Kwale,Orphaned children(<=18),1.8
Kwale,Elderly person,16.0
Kwale,Person with severe disability,0.0
Kwale,Urban food subsidy,3.6
Kwale,Food aid for ASALs,5.2
Kwale,Health voucher,1.0
Kwale,Food/cash for work,1.9
Kwale,School feeding,28.4
Kwale,Hunger safety net program,6.4
Kwale,COVID-19 relief,21.0
Kwale,Other,20.3
Kilifi,Receiving cash/social assistance,13.1
Kilifi,Orphaned children(<=18),7.7
Kilifi,Elderly person,21.5
Kilifi,Person with severe disability,3.6
Kilifi,Urban food subsidy,0.0
Kilifi,Food aid for ASALs,7.5
Kilifi,Health voucher,2.5
Kilifi,Food/cash for work,28.0
Kilifi,School feeding,1.8
Kilifi,Hunger safety net program,9.1
Kilifi,COVID-19 relief,2.5
Kilifi,Other,22.6
Tana River,Receiving cash/social assistance,19.5
Tana River,Orphaned children(<=18),8.7
Tana River,Elderly person,24.5
Tana River,Person with severe disability,5.9
Tana River,Urban food subsidy,3.3
Tana River,Food aid for ASALs,43.8
Tana River,Health voucher,0.4
Tana River,Food/cash for work,7.4
Tana River,School feeding,2.9
Tana River,Hunger safety net program,3.5
Tana River,COVID-19 relief,8.1
Tana River,Other,7.4
Lamu,Receiving cash/social assistance,20.6
Lamu,Orphaned children(<=18),4.8
Lamu,Elderly person,13.9
Lamu,Person with severe disability,1.8
Lamu,Urban food subsidy,1.4
Lamu,Food aid for ASALs,24.4
Lamu,Health voucher,0.0
Lamu,Food/cash for work,14.8
Lamu,School feeding,5.6
Lamu,Hunger safety net program,21.4
Lamu,COVID-19 relief,0.0
Lamu,Other,24.8
Taita/Taveta,Receiving cash/social assistance,17.7
Taita/Taveta,Orphaned children(<=18),5.0
Taita/Taveta,Elderly person,26.9
Taita/Taveta,Person with severe disability,1.7
Taita/Taveta,Urban food subsidy,1.5
Taita/Taveta,Food aid for ASALs,4.8
Taita/Taveta,Health voucher,3.0
Taita/Taveta,Food/cash for work,9.1
Taita/Taveta,School feeding,1.3
Taita/Taveta,Hunger safety net program,3.4
Taita/Taveta,COVID-19 relief,13.0
Taita/Taveta,Other,38.2
Garissa,Receiving cash/social assistance,12.7
Garissa,Orphaned children(<=18),2.9
Garissa,Elderly person,16.5
Garissa,Person with severe disability,0.0
Garissa,Urban food subsidy,0.6
Garissa,Food aid for ASALs,19.4
Garissa,Health voucher,0.0
Garissa,Food/cash for work,21.3
Garissa,School feeding,0.0
Garissa,Hunger safety net program,26.7
Garissa,COVID-19 relief,23.9
Garissa,Other,6.3
Wajir,Receiving cash/social assistance,21.8
Wajir,Orphaned children(<=18),9.5
Wajir,Elderly person,19.6
Wajir,Person with severe disability,0.0
Wajir,Urban food subsidy,0.0
Wajir,Food aid for ASALs,14.0
Wajir,Health voucher,0.0
Wajir,Food/cash for work,0.8
Wajir,School feeding,0.0
Wajir,Hunger safety net program,61.2
Wajir,COVID-19 relief,0.0
Wajir,Other,4.3
Mandera,Receiving cash/social assistance,10.2
Mandera,Orphaned children(<=18),12.1
Mandera,Elderly person,5.0
Mandera,Person with severe disability,2.3
Mandera,Urban food subsidy,2.3
Mandera,Food aid for ASALs,20.4
Mandera,Health voucher,0.0
Mandera,Food/cash for work,3.8
Mandera,School feeding,0.0
Mandera,Hunger safety net program,63.1
Mandera,COVID-19 relief,0.0
Mandera,Other,4.0
Marsabit,Receiving cash/social assistance,30.1
Marsabit,Orphaned children(<=18),4.7
Marsabit,Elderly person,9.4
Marsabit,Person with severe disability,1.2
Marsabit,Urban food subsidy,2.0
Marsabit,Food aid for ASALs,48.7
Marsabit,Health voucher,0.3
Marsabit,Food/cash for work,2.8
Marsabit,School feeding,0.6
Marsabit,Hunger safety net program,45.0
Marsabit,COVID-19 relief,0.3
Marsabit,Other,4.0
Isiolo,Receiving cash/social assistance,15.3
Isiolo,Orphaned children(<=18),12.2
Isiolo,Elderly person,17.5
Isiolo,Person with severe disability,1.1
Isiolo,Urban food subsidy,1.1
Isiolo,Food aid for ASALs,34.2
Isiolo,Health voucher,0.0
Isiolo,Food/cash for work,9.5
Isiolo,School feeding,0.0
Isiolo,Hunger safety net program,20.9
Isiolo,COVID-19 relief,2.0
Isiolo,Other,10.3
Meru,Receiving cash/social assistance,15.3
Meru,Orphaned children(<=18),2.1
Meru,Elderly person,32.3
Meru,Person with severe disability,3.0
Meru,Urban food subsidy,0.0
Meru,Food aid for ASALs,0.0
Meru,Health voucher,2.3
Meru,Food/cash for work,6.0
Meru,School feeding,8.6
Meru,Hunger safety net program,1.0
Meru,COVID-19 relief,4.3
Meru,Other,49.9
Tharaka-Nithi,Receiving cash/social assistance,29.7
Tharaka-Nithi,Orphaned children(<=18),3.7
Tharaka-Nithi,Elderly person,24.4
Tharaka-Nithi,Person with severe disability,0.8
Tharaka-Nithi,Urban food subsidy,7.2
Tharaka-Nithi,Food aid for ASALs,5.1
Tharaka-Nithi,Health voucher,5.7
Tharaka-Nithi,Food/cash for work,17.2
Tharaka-Nithi,School feeding,9.3
Tharaka-Nithi,Hunger safety net program,2.6
Tharaka-Nithi,COVID-19 relief,0.4
Tharaka-Nithi,Other,42.0
Embu,Receiving cash/social assistance,14.6
Embu,Orphaned children(<=18),1.6
Embu,Elderly person,23.9
Embu,Person with severe disability,3.2
Embu,Urban food subsidy,1.5
Embu,Food aid for ASALs,0.0
Embu,Health voucher,0.0
Embu,Food/cash for work,8.6
Embu,School feeding,1.7
Embu,Hunger safety net program,2.1
Embu,COVID-19 relief,5.4
Embu,Other,58.7
Kitui,Receiving cash/social assistance,15.9
Kitui,Orphaned children(<=18),1.6
Kitui,Elderly person,46.4
Kitui,Person with severe disability,1.7
Kitui,Urban food subsidy,0.0
Kitui,Food aid for ASALs,8.1
Kitui,Health voucher,1.1
Kitui,Food/cash for work,4.3
Kitui,School feeding,24.3
Kitui,Hunger safety net program,1.6
Kitui,COVID-19 relief,0.0
Kitui,Other,15.7
Machakos,Receiving cash/social assistance,20.5
Machakos,Orphaned children(<=18),2.1
Machakos,Elderly person,30.2
Machakos,Person with severe disability,2.3
Machakos,Urban food subsidy,2.4
Machakos,Food aid for ASALs,0.0
Machakos,Health voucher,0.7
Machakos,Food/cash for work,13.1
Machakos,School feeding,23.4
Machakos,Hunger safety net program,0.6
Machakos,COVID-19 relief,0.0
Machakos,Other,28.5
Makueni,Receiving cash/social assistance,17.4
Makueni,Orphaned children(<=18),5.4
Makueni,Elderly person,48.6
Makueni,Person with severe disability,0.8
Makueni,Urban food subsidy,0.9
Makueni,Food aid for ASALs,11.0
Makueni,Health voucher,1.2
Makueni,Food/cash for work,2.0
Makueni,School feeding,12.4
Makueni,Hunger safety net program,1.3
Makueni,COVID-19 relief,0.0
Makueni,Other,23.4
