"County","variable","value"
"Mombasa  ","<5","*"
"Kwale  ","<5","*"
"Kilifi  ","<5","*"
"Tana River  ","<5","1.5"
"Lamu  ","<5","-11.2"
"Taita Taveta  ","<5","-77"
"Garissa ","<5","0.2"
"Wajir  ","<5","1.1"
"Mandera ","<5","0"
"Marsabit  ","<5","0.2"
"Isiolo  ","<5","1.4"
"Meru ","<5","1.6"
"Tharaka Nithi  ","<5","0"
"Embu  ","<5","0"
"Kitui  ","<5","-3.2"
"Machakos  ","<5","*"
"Makueni  ","<5","*"
"Nyandarua  ","<5","*"
"Nyeri  ","<5","*"
"Kirinyaga  ","<5","0"
"Muranga ","<5","0"
"Kiambu  ","<5","*"
"Turkana  ","<5","*"
"West Pokot  ","<5","0"
"Samburu  ","<5","0"
"Trans Nzoia  ","<5","-5.6"
"Uasin Gishu  ","<5","*"
"Elgeyo Marakwet  ","<5","0"
"Nandi  ","<5","*"
"Baringo  ","<5","0"
"Laikipia  ","<5","-2.5"
"Nakuru  ","<5","2.2"
"Narok  ","<5","0"
"Kajiado  ","<5","1.8"
"Kericho  ","<5","-1.5"
"Bomet  ","<5","0"
"Kakamega  ","<5","*"
"Vihiga  ","<5","*"
"Bungoma ","<5","*"
"Busia  ","<5","*"
"Siaya  ","<5","*"
"Kisumu  ","<5","*"
"Homa Bay  ","<5","*"
"Migori  ","<5","0"
"Kisii  ","<5","0.9"
"Nyamira  ","<5","0.4"
"Nairobi ","<5","-11.9"
"Mombasa  ","5-9","*"
"Kwale  ","5-9","*"
"Kilifi  ","5-9","*"
"Tana River  ","5-9","59"
"Lamu  ","5-9","-44.6"
"Taita Taveta  ","5-9","-13.2"
"Garissa ","5-9","71.1"
"Wajir  ","5-9","81"
"Mandera ","5-9","66.7"
"Marsabit  ","5-9","16.2"
"Isiolo  ","5-9","40.6"
"Meru ","5-9","5.7"
"Tharaka Nithi  ","5-9","1.3"
"Embu  ","5-9","9.4"
"Kitui  ","5-9","-43.7"
"Machakos  ","5-9","*"
"Makueni  ","5-9","*"
"Nyandarua  ","5-9","*"
"Nyeri  ","5-9","*"
"Kirinyaga  ","5-9","-4.6"
"Muranga ","5-9","-24.9"
"Kiambu  ","5-9","*"
"Turkana  ","5-9","*"
"West Pokot  ","5-9","2"
"Samburu  ","5-9","7.1"
"Trans Nzoia  ","5-9","-27.5"
"Uasin Gishu  ","5-9","*"
"Elgeyo Marakwet  ","5-9","4.3"
"Nandi  ","5-9","*"
"Baringo  ","5-9","1.6"
"Laikipia  ","5-9","-17"
"Nakuru  ","5-9","26.7"
"Narok  ","5-9","3.8"
"Kajiado  ","5-9","8.6"
"Kericho  ","5-9","-3"
"Bomet  ","5-9","4.1"
"Kakamega  ","5-9","*"
"Vihiga  ","5-9","*"
"Bungoma ","5-9","*"
"Busia  ","5-9","*"
"Siaya  ","5-9","*"
