"Background characteristics","Category","Gender","variable","value"
"Age","15-19","Female","Psychological/emotional violence","13.0"
"Age","20-24","Female","Psychological/emotional violence","19.6"
"Age","25-29","Female","Psychological/emotional violence","23.8"
"Age","30-39","Female","Psychological/emotional violence","25.0"
"Age","40-49","Female","Psychological/emotional violence","22.5"
"Residence","Urban","Female","Psychological/emotional violence","19.0"
"Residence","Rural","Female","Psychological/emotional violence","24.3"
"Marital status","Never married","Female","Psychological/emotional violence","11.5"
"Marital status","..Currently has intimate partner","Female","Psychological/emotional violence","11.5"
"Marital status","..Had intimate partner","Female","Psychological/emotional violence","11.5"
"Marital status","Ever married","Female","Psychological/emotional violence","25.0"
"Marital status","..Married/living together","Female","Psychological/emotional violence","25.8"
"Marital status","..Divorced/separated/widowed","Female","Psychological/emotional violence","21.6"
"Education","No education","Female","Psychological/emotional violence","19.0"
"Education","Primary","Female","Psychological/emotional violence","27.9"
"Education","Secondary","Female","Psychological/emotional violence","20.6"
"Education","More than secondary","Female","Psychological/emotional violence","15.2"
"Wealth quintile","Lowest","Female","Psychological/emotional violence","24.8"
"Wealth quintile","Second","Female","Psychological/emotional violence","25.5"
"Wealth quintile","Middle","Female","Psychological/emotional violence","24.7"
"Wealth quintile","Fourth","Female","Psychological/emotional violence","21.5"
"Wealth quintile","Highest","Female","Psychological/emotional violence","16.8"
"Age","15-19","Male","Psychological/emotional violence","16.0"
"Age","20-24","Male","Psychological/emotional violence","24.3"
"Age","25-29","Male","Psychological/emotional violence","21.3"
"Age","30-39","Male","Psychological/emotional violence","19.3"
"Age","40-49","Male","Psychological/emotional violence","15.8"
"Residence","Urban","Male","Psychological/emotional violence","22.7"
"Residence","Rural","Male","Psychological/emotional violence","17.2"
"Marital status","Never married","Male","Psychological/emotional violence","18.4"
"Marital status","..Currently has intimate partner","Male","Psychological/emotional violence","21.1"
"Marital status","..Had intimate partner","Male","Psychological/emotional violence","12.4"
"Marital status","Ever married","Male","Psychological/emotional violence","19.0"
"Marital status","..Married/living together","Male","Psychological/emotional violence","18.1"
"Marital status","..Divorced/separated/widowed","Male","Psychological/emotional violence","26.0"
"Education","No education","Male","Psychological/emotional violence","11.6"
"Education","Primary","Male","Psychological/emotional violence","19.8"
"Education","Secondary","Male","Psychological/emotional violence","20.1"
